Continuons	VER:pres	continuer
dans	PRP	dans
la	DET:ART	le
série	NOM	série
:	PUN	:
J'	PRO:PER	je
ai	VER:pres	avoir
trop	ADV	trop
de	PRP	de
la	DET:ART	le
chance	NOM	chance
putain...	ABR	putain...
Le	DET:ART	le
RER	ABR	RER
A	PRP	à
est	NOM	est
bloqué...	VER:subi	bloqué...
Je	PRO:PER	je
vous	PRO:PER	vous
hais	VER:pres	haïr
la	DET:ART	le
RATP....	ABR	RATP....
Donc	NAM	Donc
en	PRO:PER	en
faite	VER:pper	faire
toute	PRO:IND	tout
les	DET:ART	le
chaînes	NOM	chaîne
sont	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
nous	PRO:PER	nous
montrer	VER:infi	montrer
le	DET:ART	le
bus	NOM	bus
jusqu'	PRP	jusque
au	PRP:det	au
stade	NOM	stade
ils	PRO:PER	il
ont	VER:pres	avoir
vraiment	ADV	vraiment
rien	ADV	rien
a	VER:pres	avoir
foutre	ADV	foutre
mdr	ADJ	mdr
😂😂	NOM	😂😂
#FRAROU	ADJ	#FRAROU
#EURO2016	ADJ	#EURO2016
Pauvre	NAM	Pauvre
chou	NOM	chou
,	PUN	,
obligé	VER:pper	obliger
de	PRP	de
rester	VER:infi	rester
50	NUM	@card@
min	NOM	min
de	PRP	de
plus	ADV	plus
dans	PRP	dans
le	DET:ART	le
train	NOM	train
en	PRP	en
raison	NOM	raison
de	PRP	de
la	DET:ART	le
grève	NOM	grève
sncf...	ABR	sncf...
😿	ABR	😿
https://t.co/vFnEM3xX01	ABR	https://t.co/vFnEM3xX01
l'	DET:ART	le
autre	ADJ	autre
jour	NOM	jour
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
un	DET:ART	un
pote	NOM	pote
qui	PRO:REL	qui
était	VER:impf	être
monté	VER:pper	monter
dans	PRP	dans
le	DET:ART	le
bus[ASCII012CTRLC]il	NOM	bus[ASCII012CTRLC]il
m'	PRO:PER	me
a	VER:pres	avoir
foutu	VER:pper	foutre
un	DET:ART	un
vent	NOM	vent
@SNCF	ADJ	@SNCF
bonjour	NOM	bonjour
j'	PRO:PER	je
ai	VER:pres	avoir
recu	VER:pper	recu
un	DET:ART	un
mail	NOM	mail
de	PRP	de
la	DET:ART	le
sncf	NOM	sncf
pour	PRP	pour
un	DET:ART	un
dédommagement	NOM	dédommagement
mais	KON	mais
0	NUM	@card@
info	NOM	info
pour	PRP	pour
l'	DET:ART	le
avoir...	ABR	avoir...
Mdrrr	NAM	Mdrrr
j'	PRO:PER	je
étais	VER:impf	être
à	PRP	à
côté	NOM	côté
de	PRP	de
Mr	ABR	monsieur
Appel	NAM	Appel
dans	PRP	dans
le	DET:ART	le
bus,	NOM	bus,
je	PRO:PER	je
l'	PRO:PER	la|le
ai	VER:pres	avoir
même	ADV	même
pas	ADV	pas
vu,	ADJ	vu,
miskine😭😂😂😂	NOM	miskine😭😂😂😂
C'	ADJ	C'
est	VER:pres	être
de	PRP	de
la	DET:ART	le
faute	NOM	faute
du	PRP:det	du
mec	NOM	mec
qui	PRO:REL	qui
a	VER:pres	avoir
leaké	NOM	leaké
le	DET:ART	le
bus	NOM	bus
ça	PRO:DEM	cela
Comment	NOM	comment
j'	PRO:PER	je
ai	VER:pres	avoir
la	DET:ART	le
haine	NOM	haine
contre	PRP	contre
les	DET:ART	le
mecs	NOM	mec
de	PRP	de
la	DET:ART	le
SNCF	ABR	SNCF
là...[ASCII012CTRLC]Venez	VER:futu	là...[ASCII012CTRLC]Venez
faire	VER:infi	faire
un	DET:ART	un
vrai	ADJ	vrai
travail	NOM	travail
difficile	ADJ	difficile
on	PRO:PER	on
va	VER:pres	aller
voir	VER:infi	voir
si	KON	si
vous	PRO:PER	vous
allez	VER:pres	aller
faire	VER:infi	faire
des	PRP:det	du
grèves	NOM	grève
Le	DET:ART	le
train	NOM	train
de	PRP	de
vos	DET:POS	votre
bêtises	NOM	bêtise
glisse	VER:pres	glisser
sur	PRP	sur
le	DET:ART	le
rail	NOM	rail
de	PRP	de
ma	DET:POS	mon
TL	NOM	TL
Les	DET:ART	le
gens	NOM	gens
qui	PRO:REL	qui
roule	VER:pres	rouler
à	PRP	à
80-90	NUM	@card@
sur	PRP	sur
la	DET:ART	le
voie	NOM	voie
de	PRP	de
gauche	NOM	gauche
...	PUN	...
Prenez	VER:pres	prendre
le	DET:ART	le
bus	NOM	bus
au	PRP:det	au
lieu	NOM	lieu
de	PRP	de
faire	VER:infi	faire
chier	VER:infi	chier
le	DET:ART	le
monde	NOM	monde
Ah	NAM	Ah
non....bcp	NOM	non....bcp
plus	ADV	plus
de	PRP	de
